parcel_id,twi,hand,twi_n,hand_n
3806221,11.931,0.025,0.7695,0.0037
3806239,7.949,0.355,0.2678,0.0534
3806247,8.132,0.179,0.2910,0.0270
3806255,10.015,0.182,0.5281,0.0274
3806263,9.835,0.144,0.5054,0.0216
3806271,8.830,0.113,0.3789,0.0171
3806280,9.050,0.069,0.4066,0.0103
3806301,12.577,0.000,0.8508,0.0000
3806310,10.566,0.001,0.5975,0.0001
3806328,9.782,0.001,0.4987,0.0002
3806336,7.512,0.130,0.2129,0.0195
3806344,7.914,0.228,0.2634,0.0344
3806352,7.489,0.167,0.2099,0.0252
3806361,8.619,0.057,0.3523,0.0086
3806379,8.447,0.083,0.3306,0.0124
3806395,11.447,0.041,0.7086,0.0061
3806409,10.484,0.086,0.5872,0.0129
3806417,8.049,0.162,0.2805,0.0244
3806425,11.766,0.033,0.7487,0.0050
3806433,8.750,0.176,0.3688,0.0265
3806441,7.973,0.143,0.2709,0.0215
3806450,6.842,0.522,0.1284,0.0785
3806468,6.629,0.427,0.1017,0.0643
3806476,7.754,0.247,0.2433,0.0371
3806484,8.208,0.097,0.3005,0.0146
3806492,7.616,0.131,0.2260,0.0196
3806506,7.647,0.114,0.2299,0.0171
3806514,7.828,0.079,0.2526,0.0118
3806522,7.982,0.072,0.2721,0.0109
3806531,8.486,0.069,0.3355,0.0104
3806549,9.221,0.049,0.4281,0.0073
3806557,11.090,0.000,0.6635,0.0000
3806565,9.530,0.012,0.4670,0.0018
3806573,10.303,0.000,0.5644,0.0000
3806581,11.952,0.000,0.7722,0.0000
3806590,11.666,0.000,0.7361,0.0000
3806603,13.183,0.000,0.9272,0.0000
3806611,9.729,0.038,0.4922,0.0057
3806620,12.973,0.000,0.9008,0.0000
3806638,11.510,0.000,0.7164,0.0000
3806646,12.556,0.000,0.8482,0.0000
3806654,11.692,0.000,0.7394,0.0000
3806662,9.503,0.100,0.4637,0.0151
3806671,11.719,0.063,0.7428,0.0095
3806689,7.129,0.191,0.1646,0.0287
3806697,7.639,0.161,0.2289,0.0243
3806701,8.383,0.112,0.3226,0.0168
3806719,7.675,0.360,0.2333,0.0541
3806735,12.204,0.000,0.8039,0.0000
3806743,10.092,0.000,0.5378,0.0000
3806751,12.527,0.000,0.8445,0.0000
3806760,8.926,0.021,0.3910,0.0032
3806778,11.684,0.000,0.7384,0.0000
3806786,11.870,0.000,0.7619,0.0000
3806794,11.612,0.000,0.7294,0.0000
3806808,10.938,0.000,0.6444,0.0000
3806816,7.045,0.521,0.1541,0.0783
3806824,7.159,0.410,0.1683,0.0617
3806832,8.595,0.375,0.3492,0.0564
3806841,8.245,0.324,0.3052,0.0488
3806859,9.820,0.309,0.5036,0.0465
3806867,8.906,0.331,0.3884,0.0498
3806875,6.343,0.546,0.0656,0.0821
3806891,7.736,0.214,0.2411,0.0322
3806905,7.106,0.261,0.1617,0.0392
3806913,6.995,0.329,0.1477,0.0495
3806921,6.559,0.697,0.0928,0.1049
3806930,8.156,0.432,0.2940,0.0650
3806948,9.576,0.107,0.4728,0.0161
3806956,10.273,0.027,0.5607,0.0040
3806964,10.269,0.027,0.5601,0.0040
3806972,6.786,0.372,0.1214,0.0560
3807006,11.865,0.013,0.7611,0.0019
3807014,12.679,0.004,0.8637,0.0005
3807022,12.506,0.006,0.8419,0.0009
3807031,12.426,0.002,0.8318,0.0003
3807049,12.203,0.000,0.8037,0.0000
3807057,11.930,0.000,0.7693,0.0000
3807065,13.949,0.000,1.0000,0.0000
3807073,15.980,0.000,1.0000,0.0000
3807081,7.053,0.328,0.1551,0.0494
3807103,8.088,0.296,0.2854,0.0445
3807111,8.216,0.106,0.3015,0.0159
3807138,6.956,0.262,0.1428,0.0394
3807146,8.574,0.131,0.3467,0.0198
3807154,7.925,0.147,0.2648,0.0221
3807162,9.700,0.092,0.4884,0.0138
3807171,10.838,0.056,0.6318,0.0084
3807189,10.198,0.108,0.5511,0.0163
3807197,8.047,0.123,0.2802,0.0185
3807201,7.972,0.091,0.2708,0.0137
3807219,6.943,0.292,0.1411,0.0439
3807227,7.798,0.385,0.2489,0.0578
3807235,8.248,0.335,0.3055,0.0504
3807243,8.452,0.145,0.3313,0.0218
3807251,6.956,0.333,0.1428,0.0501
3807260,7.664,0.316,0.2320,0.0476
3807286,10.470,0.018,0.5854,0.0027
3807294,9.525,0.071,0.4664,0.0107
3807308,8.808,0.110,0.3761,0.0166
3807316,7.512,0.218,0.2129,0.0328
3807324,6.388,0.348,0.0712,0.0523
3807332,7.585,0.247,0.2220,0.0371
3807341,12.979,0.000,0.9015,0.0000
3807359,12.201,0.000,0.8035,0.0000
3807367,11.204,0.003,0.6779,0.0004
3807375,15.122,0.000,1.0000,0.0000
3807383,7.454,0.311,0.2055,0.0468
3807391,11.599,0.000,0.7277,0.0000
3807405,11.149,0.000,0.6710,0.0000
3807413,12.741,0.000,0.8715,0.0000
3807430,11.913,0.000,0.7672,0.0000
3807448,11.890,0.000,0.7643,0.0000
3807456,12.519,0.000,0.8435,0.0000
3807464,9.594,0.002,0.4751,0.0003
3807472,8.688,0.029,0.3610,0.0044
3807481,11.125,0.010,0.6680,0.0014
3807499,12.035,0.001,0.7825,0.0002
3807502,11.658,0.000,0.7351,0.0000
3807511,11.464,0.000,0.7107,0.0000
3807529,11.835,0.000,0.7574,0.0000
3807537,7.864,0.168,0.2572,0.0253
3807545,7.817,0.212,0.2513,0.0319
3807561,9.524,0.010,0.4662,0.0015
3807570,7.999,0.109,0.2742,0.0164
3807588,9.586,0.089,0.4741,0.0134
3807596,10.285,0.034,0.5622,0.0051
3807618,10.228,0.033,0.5549,0.0049
3807626,12.101,0.000,0.7909,0.0000
3807634,7.316,0.233,0.1881,0.0351
3807642,7.577,0.186,0.2211,0.0280
3807651,7.441,0.138,0.2039,0.0207
3807669,8.489,0.064,0.3358,0.0097
3807677,9.996,0.038,0.5257,0.0057
3807685,10.004,0.294,0.5268,0.0442
3807693,9.305,0.311,0.4387,0.0467
3807715,9.226,0.329,0.4287,0.0495
3807723,8.292,0.169,0.3110,0.0255
3807731,8.987,0.115,0.3986,0.0173
3807740,6.593,0.399,0.0971,0.0600
3807758,8.103,0.325,0.2873,0.0488
3807766,11.148,0.002,0.6708,0.0004
3807791,7.226,0.254,0.1768,0.0382
3807804,7.852,0.219,0.2557,0.0330
3807812,6.696,0.339,0.1100,0.0509
3807821,10.908,0.119,0.6406,0.0180
3807847,8.177,0.271,0.2966,0.0407
3807855,7.827,0.295,0.2526,0.0443
3807863,7.385,0.299,0.1968,0.0450
3807871,7.698,0.459,0.2363,0.0690
3807880,7.608,0.394,0.2249,0.0593
3807898,6.834,0.480,0.1275,0.0722
3807901,11.805,0.000,0.7536,0.0000
3807910,12.479,0.000,0.8385,0.0000
3807928,11.994,0.004,0.7774,0.0006
3807936,13.826,0.000,1.0000,0.0000
3807944,14.184,0.000,1.0000,0.0000
3807952,11.470,0.000,0.7115,0.0000
3807961,13.163,0.000,0.9247,0.0000
3807979,11.955,0.000,0.7725,0.0000
3807995,13.223,0.003,0.9323,0.0004
3808002,12.729,0.003,0.8700,0.0004
3808011,9.207,0.034,0.4264,0.0050
3808029,9.515,0.020,0.4652,0.0030
3808037,11.784,0.000,0.7510,0.0000
3808045,11.646,0.000,0.7336,0.0000
3808053,7.926,0.148,0.2650,0.0223
3808061,8.337,0.297,0.3167,0.0446
3808070,7.868,0.265,0.2576,0.0398
3808088,7.438,0.567,0.2035,0.0852
3808096,9.325,0.085,0.4412,0.0128
3808100,6.173,0.585,0.0441,0.0880
3808118,6.646,0.853,0.1038,0.1282
3808126,6.453,0.906,0.0795,0.1363
3808134,9.022,0.235,0.4031,0.0353
3808142,7.308,0.362,0.1872,0.0545
3808151,7.305,0.268,0.1868,0.0403
3808169,6.695,0.698,0.1099,0.1050
3808177,6.700,0.853,0.1105,0.1284
3808185,6.620,0.929,0.1005,0.1397
3808193,8.153,0.452,0.2935,0.0680
3808207,8.931,0.302,0.3916,0.0454
3808215,8.728,0.428,0.3661,0.0643
3808231,7.999,0.589,0.2741,0.0887
3808240,8.710,0.592,0.3637,0.0890
3808258,8.160,0.581,0.2944,0.0874
3808266,6.998,0.506,0.1481,0.0761
3808274,7.898,0.485,0.2615,0.0730
3808282,8.134,0.422,0.2912,0.0635
3808291,9.655,0.329,0.4828,0.0495
3808304,8.286,0.115,0.3103,0.0172
3808312,6.534,0.519,0.0896,0.0781
3808321,12.351,0.000,0.8224,0.0000
3808339,10.891,0.000,0.6385,0.0000
3808347,11.171,0.000,0.6738,0.0000
3808355,7.630,0.221,0.2276,0.0333
3808363,8.447,0.109,0.3306,0.0163
3808371,7.683,0.356,0.2344,0.0536
3808380,7.964,0.404,0.2698,0.0608
3808398,8.409,0.159,0.3258,0.0239
