parcel_id,twi,hand,twi_n,hand_n
3808401,7.837,0.443,0.2538,0.0666
3808410,7.631,0.276,0.2278,0.0416
3808428,7.956,0.176,0.2688,0.0265
3808436,7.956,0.167,0.2687,0.0251
3808444,9.315,0.058,0.4400,0.0087
3808452,12.909,0.000,0.8926,0.0000
3808461,12.382,0.000,0.8263,0.0000
3808479,11.301,0.000,0.6902,0.0000
3808487,7.686,0.071,0.2348,0.0107
3808495,11.542,0.000,0.7204,0.0000
3808509,11.467,0.000,0.7110,0.0000
3808517,13.064,0.000,0.9122,0.0000
3808525,12.942,0.000,0.8969,0.0000
3808533,9.735,0.070,0.4928,0.0105
3808541,10.921,0.000,0.6422,0.0000
3808550,10.806,0.000,0.6278,0.0000
3808568,11.035,0.000,0.6566,0.0000
3808576,9.348,0.068,0.4441,0.0102
3808606,9.281,0.062,0.4357,0.0094
3808614,11.068,0.021,0.6607,0.0032
3808622,8.993,0.364,0.3993,0.0548
3808631,8.599,0.382,0.3497,0.0575
3808649,9.098,0.322,0.4127,0.0484
3808665,9.979,0.274,0.5236,0.0413
3808673,9.237,0.287,0.4302,0.0432
3808681,7.037,0.566,0.1530,0.0852
3808690,6.673,0.522,0.1072,0.0786
3808703,10.678,0.244,0.6117,0.0366
3808711,7.851,0.613,0.2555,0.0921
3808720,7.509,0.598,0.2125,0.0900
3808746,7.269,0.539,0.1822,0.0811
3808754,7.359,0.403,0.1936,0.0606
3808762,9.070,0.303,0.4090,0.0455
3808771,11.310,0.254,0.6913,0.0382
3808789,10.529,0.263,0.5929,0.0396
3808797,7.372,0.423,0.1952,0.0637
3808801,7.705,0.487,0.2371,0.0732
3808819,7.419,0.566,0.2012,0.0851
3808827,8.292,0.465,0.3111,0.0700
3808835,9.462,0.295,0.4585,0.0443
3808843,7.517,0.380,0.2135,0.0571
3808851,8.089,0.409,0.2856,0.0615
3808860,9.699,0.316,0.4883,0.0476
3808878,7.872,0.442,0.2582,0.0665
3808886,7.066,0.311,0.1567,0.0467
3808894,8.380,0.321,0.3221,0.0483
3808908,13.692,0.000,0.9913,0.0000
3808916,13.131,0.000,0.9206,0.0000
3808924,12.835,0.000,0.8834,0.0000
3808932,12.588,0.000,0.8522,0.0000
3808941,11.186,0.028,0.6757,0.0042
3808959,10.934,0.029,0.6439,0.0044
3808967,12.662,0.000,0.8616,0.0000
3808975,12.892,0.000,0.8906,0.0000
3808983,12.594,0.000,0.8531,0.0000
3808991,12.257,0.000,0.8106,0.0000
3809009,11.496,0.000,0.7147,0.0000
3809017,13.148,0.000,0.9228,0.0000
3809025,15.747,0.000,1.0000,0.0000
3809033,15.657,0.000,1.0000,0.0000
3809041,13.129,0.000,0.9204,0.0000
3809050,10.422,0.005,0.5793,0.0007
3809068,8.514,0.057,0.3391,0.0086
3809076,6.851,0.312,0.1295,0.0469
3809084,9.802,0.054,0.5013,0.0081
3809092,11.051,0.000,0.6587,0.0000
3809106,10.878,0.000,0.6368,0.0000
3809114,9.769,0.000,0.4972,0.0000
3809122,10.753,0.000,0.6210,0.0000
3809131,11.048,0.000,0.6582,0.0000
3809149,11.649,0.000,0.7339,0.0000
3809157,11.439,0.000,0.7075,0.0000
3809165,12.801,0.000,0.8791,0.0000
3809173,13.031,0.006,0.9081,0.0009
3809181,11.580,0.021,0.7253,0.0032
3809190,9.512,0.052,0.4648,0.0079
3809203,13.115,0.000,0.9186,0.0000
3809211,10.462,0.045,0.5845,0.0068
3809220,12.378,0.000,0.8258,0.0000
3809238,11.105,0.030,0.6655,0.0045
3809246,9.150,0.169,0.4192,0.0254
3809262,9.174,0.143,0.4222,0.0215
3809289,7.517,0.524,0.2135,0.0788
3809297,9.066,0.410,0.4086,0.0617
3809301,8.547,0.304,0.3433,0.0458
3809319,7.683,0.750,0.2343,0.1127
3809327,12.354,0.000,0.8227,0.0000
3809343,7.195,0.405,0.1729,0.0609
3809351,11.888,0.029,0.7641,0.0044
3809394,11.388,0.000,0.7011,0.0000
3809408,8.020,0.286,0.2769,0.0430
3809424,7.098,0.257,0.1607,0.0387
3809432,7.784,0.137,0.2471,0.0206
3809441,11.223,0.029,0.6803,0.0044
3809459,9.277,0.121,0.4351,0.0181
3809467,9.662,0.140,0.4837,0.0210
3809483,6.634,1.185,0.1022,0.1783
3809491,12.006,0.001,0.7789,0.0001
3809505,7.644,0.783,0.2294,0.1178
3809513,8.903,0.377,0.3881,0.0566
3809521,8.758,0.033,0.3698,0.0050
3809548,7.295,0.215,0.1855,0.0323
3809556,9.494,0.081,0.4625,0.0122
3809564,7.173,0.205,0.1702,0.0308
3809572,7.401,0.192,0.1989,0.0288
3809581,9.389,0.154,0.4493,0.0232
3809599,13.722,0.000,0.9951,0.0000
3809602,9.641,0.031,0.4810,0.0047
3809611,10.677,0.005,0.6115,0.0007
3809629,10.346,0.012,0.5698,0.0018
3809637,8.429,0.083,0.3283,0.0125
3809645,7.662,0.223,0.2317,0.0336
3809653,9.982,0.069,0.5240,0.0103
3809661,8.104,0.156,0.2874,0.0235
3809670,7.296,0.299,0.1856,0.0450
3809688,13.128,0.000,0.9202,0.0000
3809696,8.380,0.548,0.3221,0.0824
3809700,6.364,0.891,0.0682,0.1341
3809718,9.308,0.066,0.4390,0.0100
3809726,9.599,0.041,0.4757,0.0061
3809734,6.855,0.372,0.1301,0.0560
3809742,7.327,0.373,0.1895,0.0561
3809751,7.503,0.430,0.2117,0.0646
3809769,7.301,0.368,0.1863,0.0554
3809777,7.060,0.376,0.1559,0.0565
3809785,7.405,0.260,0.1993,0.0390
3809793,7.400,0.394,0.1987,0.0592
3809807,6.766,0.402,0.1188,0.0604
3809815,7.671,0.277,0.2329,0.0416
3809823,7.342,0.216,0.1914,0.0325
3809831,11.635,0.000,0.7322,0.0000
3809858,8.334,0.126,0.3163,0.0190
3809866,10.461,0.038,0.5843,0.0058
3809874,8.705,0.187,0.3631,0.0281
3809882,8.177,0.376,0.2966,0.0566
3809891,8.092,0.433,0.2859,0.0652
3809904,8.373,0.492,0.3213,0.0740
3809912,7.821,0.457,0.2518,0.0688
3809921,7.915,0.428,0.2636,0.0643
3809939,8.954,0.261,0.3945,0.0392
3809947,8.596,0.286,0.3494,0.0430
3809955,7.801,0.360,0.2493,0.0542
3809963,7.068,0.346,0.1569,0.0521
3809998,7.364,0.212,0.1942,0.0319
3810007,8.209,0.065,0.3007,0.0098
3810015,7.173,0.309,0.1701,0.0465
3810023,6.962,0.389,0.1436,0.0585
3810031,7.754,0.188,0.2433,0.0283
3810040,8.930,0.097,0.3915,0.0146
3810058,9.563,0.096,0.4712,0.0144
3810066,8.178,0.334,0.2968,0.0502
3810074,7.598,0.393,0.2237,0.0591
3810082,8.573,0.107,0.3465,0.0161
3810112,9.558,0.047,0.4705,0.0071
3810121,8.119,0.130,0.2893,0.0195
3810139,8.924,0.138,0.3907,0.0207
3810171,7.629,0.384,0.2276,0.0578
3810198,7.617,0.359,0.2260,0.0540
3810201,8.089,0.430,0.2856,0.0647
3810210,8.048,0.280,0.2804,0.0421
3810244,11.366,0.000,0.6983,0.0000
3810252,10.319,0.013,0.5665,0.0020
3810261,9.629,0.092,0.4795,0.0138
3810279,9.313,0.180,0.4397,0.0271
3810287,9.738,0.206,0.4933,0.0309
3810295,8.531,0.192,0.3412,0.0289
3810309,7.672,0.220,0.2330,0.0331
3810317,8.904,0.220,0.3881,0.0331
3810341,12.168,0.000,0.7994,0.0000
3810350,8.681,0.064,0.3601,0.0096
3810368,9.354,0.045,0.4449,0.0067
3810376,8.607,0.162,0.3507,0.0244
3810384,8.743,0.096,0.3679,0.0144
3810392,7.454,0.338,0.2055,0.0509
3810406,7.222,0.312,0.1762,0.0470
3810414,7.019,0.652,0.1507,0.0981
3810422,7.263,0.696,0.1815,0.1047
3810431,6.750,0.586,0.1169,0.0881
3810449,6.855,0.798,0.1300,0.1200
3810457,7.224,0.757,0.1766,0.1139
3810465,7.186,0.744,0.1718,0.1119
3810473,7.480,0.682,0.2088,0.1026
3810481,9.212,0.064,0.4270,0.0096
3810490,7.259,0.786,0.1809,0.1182
3810503,6.387,0.769,0.0711,0.1157
3810511,9.629,0.063,0.4795,0.0095
3810520,8.524,0.112,0.3403,0.0168
3810538,8.519,0.206,0.3397,0.0310
3810546,7.723,0.268,0.2394,0.0403
3810554,8.656,0.265,0.3569,0.0399
3810562,12.187,0.000,0.8017,0.0000
3810571,8.509,0.084,0.3385,0.0126
3810589,9.842,0.040,0.5064,0.0061
3810597,10.127,0.040,0.5423,0.0059
3810601,9.293,0.067,0.4372,0.0100
3810619,7.860,0.277,0.2566,0.0417
3810627,8.967,0.150,0.3962,0.0225
3810635,8.487,0.199,0.3357,0.0299
3810643,8.184,0.238,0.2975,0.0358
3810651,7.363,0.208,0.1940,0.0313
3810660,9.095,0.114,0.4122,0.0172
3810678,11.170,0.016,0.6736,0.0024
3810686,12.786,0.000,0.8772,0.0000
3810694,7.421,0.119,0.2014,0.0180
3810708,9.558,0.073,0.4705,0.0111
3810716,11.741,0.000,0.7456,0.0000
3810724,7.315,0.204,0.1880,0.0307
3810732,12.385,0.000,0.8266,0.0000
3810741,12.588,0.000,0.8523,0.0000
3810759,13.068,0.000,0.9127,0.0000
3810767,11.965,0.000,0.7737,0.0000
3810775,15.311,0.000,1.0000,0.0000
3810783,11.804,0.000,0.7535,0.0000
3810791,11.828,0.004,0.7565,0.0005
3810805,14.602,0.000,1.0000,0.0000
3810813,11.339,0.000,0.6949,0.0000
3810821,12.026,0.000,0.7815,0.0000
3810830,11.431,0.000,0.7065,0.0000
3810848,11.717,0.000,0.7426,0.0000
3810856,11.918,0.000,0.7678,0.0000
3810872,12.172,0.000,0.7998,0.0000
3810899,12.122,0.000,0.7936,0.0000
3810902,8.746,0.070,0.3683,0.0105
3810911,11.765,0.000,0.7486,0.0000
3810929,7.087,0.230,0.1593,0.0347
3810937,10.900,0.000,0.6396,0.0000
3810945,9.245,0.015,0.4312,0.0022
3810953,10.754,0.009,0.6212,0.0014
3810961,7.634,0.153,0.2282,0.0230
3810970,7.881,0.136,0.2593,0.0204
3810988,7.541,0.108,0.2165,0.0162
3810996,9.374,0.014,0.4473,0.0021
3811011,12.460,0.000,0.8361,0.0000
3811020,9.419,0.036,0.4531,0.0055
3811038,8.475,0.197,0.3341,0.0296
3811046,8.177,0.105,0.2966,0.0158
3811054,7.885,0.131,0.2598,0.0197
3811062,11.940,0.032,0.7706,0.0048
3811101,6.953,0.375,0.1424,0.0564
3811119,7.037,0.289,0.1530,0.0435
3811143,7.418,0.291,0.2010,0.0437
3811151,8.603,0.206,0.3502,0.0310
3811160,8.967,0.096,0.3961,0.0144
3811178,7.155,0.344,0.1679,0.0518
3811194,6.982,0.283,0.1461,0.0426
3811208,13.135,0.000,0.9212,0.0000
3811216,11.578,0.041,0.7250,0.0061
3811232,6.975,0.322,0.1451,0.0485
3811241,11.035,0.038,0.6567,0.0057
3811259,8.081,0.087,0.2845,0.0131
3811267,9.380,0.052,0.4482,0.0078
3811275,8.629,0.035,0.3535,0.0052
3811283,8.427,0.078,0.3281,0.0118
3811291,6.444,0.428,0.0783,0.0644
3811313,7.655,0.139,0.2309,0.0209
3811321,13.415,0.000,0.9565,0.0000
3811330,12.155,0.000,0.7977,0.0000
3811348,6.683,0.264,0.1084,0.0397
3811356,7.007,0.605,0.1492,0.0910
3811399,7.781,0.457,0.2468,0.0688
3811402,9.829,0.131,0.5047,0.0198
3811411,8.052,0.199,0.2809,0.0299
3811429,8.473,0.295,0.3339,0.0443
3811445,10.323,0.335,0.5670,0.0504
3811453,10.425,0.332,0.5798,0.0499
3811461,9.395,0.344,0.4500,0.0518
3811470,7.935,0.235,0.2661,0.0353
3811488,8.344,0.362,0.3176,0.0544
3811496,6.686,0.309,0.1088,0.0465
3811500,10.398,0.011,0.5764,0.0017
3811518,8.738,0.065,0.3673,0.0097
3811526,7.633,0.210,0.2281,0.0316
3811534,9.282,0.066,0.4358,0.0100
3811542,7.290,0.537,0.1849,0.0807
3811551,7.267,0.382,0.1819,0.0575
3811569,8.442,0.176,0.3300,0.0265
3811577,11.264,0.000,0.6854,0.0000
3811585,9.860,0.037,0.5086,0.0056
3811593,7.193,0.276,0.1727,0.0415
3811615,8.543,0.046,0.3427,0.0069
3811631,7.959,0.155,0.2691,0.0233
3811640,7.784,0.267,0.2471,0.0401
3811658,8.370,0.077,0.3210,0.0116
3811666,9.731,0.015,0.4924,0.0022
3811674,9.955,0.064,0.5206,0.0096
3811682,8.836,0.345,0.3796,0.0519
3811691,8.610,0.301,0.3512,0.0453
3811704,9.270,0.220,0.4342,0.0330
3811712,9.151,0.164,0.4193,0.0247
3811721,7.864,0.193,0.2571,0.0290
3811739,7.742,0.155,0.2418,0.0234
3811747,8.018,0.092,0.2766,0.0139
3811755,9.466,0.047,0.4589,0.0071
3811763,8.010,0.196,0.2756,0.0295
3811771,11.284,0.000,0.6879,0.0000
3811780,11.980,0.007,0.7756,0.0010
3811798,10.715,0.000,0.6163,0.0000
3811801,10.505,0.000,0.5898,0.0001
3811810,10.533,0.008,0.5933,0.0012
3811836,7.273,0.247,0.1827,0.0371
3811844,10.503,0.026,0.5896,0.0039
3811852,8.162,0.082,0.2948,0.0124
3811861,8.043,0.197,0.2797,0.0296
3811879,8.170,0.236,0.2957,0.0354
3811887,8.047,0.139,0.2802,0.0209
3811895,7.948,0.256,0.2678,0.0386
3811909,7.655,0.398,0.2308,0.0598
3811917,8.229,0.178,0.3031,0.0267
3811925,8.913,0.055,0.3893,0.0082
3811933,7.849,0.177,0.2553,0.0266
3811941,8.121,0.169,0.2895,0.0255
3811950,8.721,0.099,0.3652,0.0148
3811968,10.155,0.047,0.5458,0.0071
3811976,10.066,0.052,0.5346,0.0078
3811984,7.544,0.178,0.2168,0.0267
3811992,7.566,0.370,0.2197,0.0556
3812000,7.863,0.207,0.2571,0.0312
3812026,8.703,0.151,0.3628,0.0227
3812034,7.569,0.193,0.2200,0.0290
3812042,7.675,0.308,0.2333,0.0462
3812051,8.190,0.162,0.2983,0.0244
3812069,8.394,0.299,0.3240,0.0449
3812085,7.620,0.342,0.2264,0.0514
3812093,10.012,0.152,0.5277,0.0228
3812115,8.954,0.152,0.3945,0.0228
3812123,8.873,0.406,0.3842,0.0610
3812131,8.532,0.379,0.3413,0.0569
3812140,7.871,0.294,0.2580,0.0441
3812158,7.823,0.135,0.2520,0.0203
3812166,9.427,0.040,0.4540,0.0060
3812174,7.754,0.248,0.2434,0.0373
3812182,7.006,0.373,0.1490,0.0561
3812191,6.282,0.557,0.0579,0.0837
3812204,6.849,0.816,0.1293,0.1228
3812212,7.320,0.644,0.1886,0.0969
3812221,7.236,0.960,0.1780,0.1444
3812239,7.684,0.662,0.2345,0.0996
3812247,7.571,0.914,0.2202,0.1374
3812255,7.704,0.535,0.2370,0.0805
3812263,6.963,0.569,0.1437,0.0856
3812271,7.207,0.907,0.1744,0.1364
3812280,8.419,0.505,0.3271,0.0759
3812301,7.845,0.488,0.2548,0.0735
3812310,7.158,1.004,0.1683,0.1509
3812328,7.546,0.635,0.2171,0.0955
3812336,7.252,0.985,0.1801,0.1482
3812344,8.211,0.558,0.3009,0.0840
3812352,7.773,0.899,0.2457,0.1351
3812361,7.843,0.569,0.2545,0.0856
3812379,7.296,0.902,0.1857,0.1356
3812387,6.507,0.511,0.0863,0.0768
3812395,7.345,0.938,0.1918,0.1411
3812417,9.996,0.030,0.5257,0.0045
3812441,10.469,0.010,0.5853,0.0015
3812450,13.246,0.000,0.9351,0.0000
3812468,9.245,0.107,0.4312,0.0161
3812476,8.577,0.057,0.3469,0.0085
3812484,12.482,0.008,0.8388,0.0012
3812531,8.445,0.111,0.3304,0.0167
3812549,9.006,0.097,0.4010,0.0146
3812557,9.874,0.091,0.5103,0.0136
3812565,12.901,0.000,0.8917,0.0000
3812573,7.485,0.240,0.2095,0.0361
3812581,10.578,0.013,0.5991,0.0020
3812590,6.656,0.516,0.1050,0.0776
3812603,10.128,0.023,0.5423,0.0034
3812611,7.470,0.419,0.2076,0.0630
3812638,7.954,0.389,0.2685,0.0585
3812654,9.397,0.054,0.4503,0.0082
3812662,8.104,0.378,0.2874,0.0569
3812671,8.086,0.347,0.2851,0.0522
3812697,6.790,0.600,0.1219,0.0902
3812701,9.802,0.032,0.5013,0.0049
3812719,8.502,0.045,0.3375,0.0068
3812727,7.764,0.459,0.2446,0.0690
3812735,8.302,0.125,0.3124,0.0187
3812743,12.341,0.000,0.8211,0.0000
3812751,9.720,0.000,0.4909,0.0000
3812760,10.950,0.027,0.6460,0.0041
3812778,11.473,0.000,0.7118,0.0000
3812794,12.550,0.000,0.8475,0.0000
3812808,12.255,0.000,0.8103,0.0000
3812816,12.144,0.000,0.7963,0.0000
3812824,11.816,0.000,0.7550,0.0000
3812832,10.172,0.024,0.5479,0.0036
3812841,9.256,0.042,0.4325,0.0064
3812859,12.162,0.000,0.7986,0.0000
3812867,11.062,0.022,0.6601,0.0033
3812875,7.654,0.068,0.2307,0.0103
3812883,11.149,0.000,0.6710,0.0000
3812891,10.993,0.000,0.6513,0.0000
3812905,7.437,0.175,0.2033,0.0263
3812921,8.239,0.183,0.3044,0.0275
3812930,8.203,0.160,0.2999,0.0240
3812948,9.067,0.043,0.4087,0.0064
3812956,10.768,0.009,0.6230,0.0014
3812972,10.817,0.034,0.6292,0.0051
3812981,8.648,0.090,0.3559,0.0135
3812999,10.395,0.013,0.5760,0.0020
3813006,9.737,0.029,0.4931,0.0044
3813014,7.919,0.188,0.2642,0.0282
3813022,10.992,0.000,0.6512,0.0000
3813031,10.339,0.163,0.5689,0.0246
3813057,9.298,0.052,0.4379,0.0078
3813065,8.364,0.084,0.3201,0.0126
3813081,11.767,0.000,0.7488,0.0000
3813090,8.313,0.656,0.3138,0.0986
3813103,13.321,0.000,0.9446,0.0000
3813154,9.335,0.102,0.4425,0.0153
3813162,11.241,0.260,0.6826,0.0390
3813171,8.758,0.416,0.3698,0.0626
3813189,8.718,0.327,0.3648,0.0491
3813197,7.784,0.162,0.2471,0.0244
3813201,10.389,0.008,0.5752,0.0012
3813219,10.248,0.000,0.5574,0.0000
3813227,6.931,0.800,0.1397,0.1204
3813235,7.156,0.553,0.1680,0.0832
3813243,6.836,0.448,0.1276,0.0674
3813251,9.314,0.687,0.4399,0.1033
3813260,7.840,0.240,0.2541,0.0360
3813278,7.736,0.065,0.2411,0.0098
3813286,10.555,0.032,0.5961,0.0049
3813308,8.789,0.481,0.3737,0.0723
3813316,10.319,0.041,0.5665,0.0062
3813324,9.406,0.048,0.4515,0.0073
3813332,9.770,0.003,0.4973,0.0004
3813341,8.427,1.502,0.3282,0.2259
3813359,8.850,0.048,0.3813,0.0073
3813367,8.478,0.034,0.3346,0.0052
3813375,9.278,0.031,0.4353,0.0046
3813405,7.826,0.144,0.2524,0.0216
3813413,8.336,0.118,0.3166,0.0178
3813421,9.110,0.023,0.4142,0.0034
3813430,10.082,0.011,0.5366,0.0017
