parcel_id,twi,hand,twi_n,hand_n
4943714,7.841,1.795,0.2543,0.2699
4943722,10.670,0.000,0.6107,0.0000
4943731,12.264,0.000,0.8114,0.0000
4943749,8.146,0.102,0.2927,0.0154
4943757,9.891,0.356,0.5125,0.0536
4943765,8.612,0.147,0.3514,0.0221
4943781,7.062,0.258,0.1561,0.0387
4943790,6.778,1.619,0.1204,0.2436
4943811,9.404,1.756,0.4512,0.2640
4943820,7.101,2.092,0.1611,0.3146
4944028,6.889,1.722,0.1344,0.2589
4944036,9.900,2.235,0.5136,0.3361
4944044,6.288,1.475,0.0586,0.2218
4944052,8.635,0.066,0.3544,0.0099
4944079,7.275,1.677,0.1830,0.2523
4944087,7.543,4.857,0.2168,0.7306
4944095,9.677,4.575,0.4856,0.6881
4944109,8.429,3.920,0.3283,0.5895
4944117,10.345,3.110,0.5697,0.4678
4944125,9.790,2.718,0.4997,0.4087
4944133,7.338,2.227,0.1909,0.3350
4944176,5.813,2.973,0.0000,0.4471
4944184,13.135,0.000,0.9211,0.0000
4944192,13.172,0.000,0.9258,0.0000
4944257,7.953,0.291,0.2684,0.0438
4944265,11.450,0.000,0.7088,0.0000
4944273,6.413,0.950,0.0744,0.1428
4944281,5.852,2.282,0.0037,0.3433
4944290,8.292,5.036,0.3111,0.7575
4944320,7.335,1.325,0.1906,0.1993
4944338,8.943,0.301,0.3932,0.0453
4944346,6.640,0.859,0.1029,0.1292
4944354,13.403,0.000,0.9549,0.0000
4944362,6.481,4.862,0.0830,0.7313
4944371,8.643,5.796,0.3553,0.8717
4944389,6.750,0.834,0.1168,0.1255
4944419,10.280,0.332,0.5615,0.0500
4944427,7.033,1.278,0.1525,0.1922
4944435,6.812,0.915,0.1247,0.1376
4944451,7.610,0.370,0.2252,0.0556
4944494,13.548,0.000,0.9732,0.0000
4944508,13.531,0.000,0.9711,0.0000
4944516,6.381,0.755,0.0704,0.1135
4944524,6.419,1.753,0.0751,0.2636
4944575,9.280,0.213,0.4355,0.0320
4944591,8.579,1.517,0.3473,0.2282
4944613,6.937,1.020,0.1404,0.1535
4944656,9.899,0.014,0.5135,0.0021
4944672,7.354,1.265,0.1929,0.1903
4944711,6.461,0.511,0.0804,0.0769
4944737,9.705,0.005,0.4891,0.0008
4944745,10.985,0.517,0.6504,0.0778
4944753,8.135,0.449,0.2914,0.0675
4944761,8.781,0.034,0.3727,0.0051
4944770,10.460,0.027,0.5842,0.0040
4944788,6.611,4.648,0.0993,0.6990
4944893,8.782,0.277,0.3728,0.0416
4944907,6.357,0.271,0.0673,0.0407
4944923,5.815,1.752,0.0000,0.2635
4944958,8.413,2.195,0.3263,0.3301
4944966,7.142,0.438,0.1662,0.0659
4944991,7.860,0.348,0.2566,0.0524
4945008,7.784,0.350,0.2471,0.0526
4945024,9.407,0.027,0.4516,0.0040
4945083,11.107,0.005,0.6656,0.0008
4945130,8.845,1.281,0.3808,0.1926
4945172,12.285,0.000,0.8141,0.0000
4945199,7.075,0.453,0.1578,0.0681
4945326,7.346,1.842,0.1919,0.2770
4945334,9.461,0.699,0.4583,0.1051
4945342,7.422,0.816,0.2015,0.1227
4945385,8.138,3.672,0.2917,0.5523
4945466,7.903,0.214,0.2621,0.0321
4945482,10.435,0.063,0.5811,0.0095
4945521,7.648,1.780,0.2299,0.2676
4945539,6.830,1.727,0.1270,0.2597
4945610,8.010,0.646,0.2756,0.0972
4945644,7.385,5.766,0.1968,0.8672
4945768,7.729,1.404,0.2401,0.2112
4945776,9.423,0.050,0.4535,0.0076
4945792,9.329,0.021,0.4417,0.0032
4945814,9.694,0.000,0.4877,0.0000
4945831,6.818,0.594,0.1254,0.0893
4945857,8.613,0.086,0.3515,0.0130
4945873,10.501,0.000,0.5893,0.0000
4945903,7.284,0.721,0.1841,0.1085
4945911,8.774,0.560,0.3717,0.0842
4945920,7.289,0.385,0.1847,0.0579
4946047,7.835,0.827,0.2535,0.1244
