parcel_id,twi,hand,twi_n,hand_n
3324064,6.286,1.729,0.0584,0.2600
3324072,7.096,0.570,0.1604,0.0858
3324081,6.766,0.406,0.1189,0.0610
3324099,7.890,1.588,0.2604,0.2388
3324102,7.332,4.461,0.1902,0.6709
3324111,7.932,3.065,0.2657,0.4611
3324129,8.165,0.218,0.2950,0.0328
3324137,6.857,0.943,0.1303,0.1418
3324145,8.069,0.807,0.2830,0.1214
3324153,7.317,0.782,0.1882,0.1176
3324161,9.111,0.259,0.4142,0.0390
3324170,6.781,0.874,0.1207,0.1315
3324188,6.139,1.169,0.0399,0.1759
3324196,6.815,1.558,0.1251,0.2343
3324200,7.588,2.659,0.2224,0.3999
3324218,6.963,2.279,0.1437,0.3427
3324226,6.317,0.744,0.0624,0.1119
3324234,6.392,1.282,0.0717,0.1928
3324242,7.336,1.749,0.1907,0.2631
3324269,7.188,1.736,0.1720,0.2611
3324277,6.880,0.645,0.1332,0.0971
3324285,8.591,0.835,0.3487,0.1256
3324293,10.022,1.851,0.5291,0.2783
3324307,8.063,1.156,0.2823,0.1739
3324323,8.071,1.119,0.2832,0.1683
3324331,6.882,0.783,0.1334,0.1178
3324340,7.469,1.279,0.2075,0.1924
3324358,7.041,1.471,0.1535,0.2212
3324366,9.185,1.402,0.4236,0.2108
3324374,7.185,0.864,0.1717,0.1299
3324382,8.514,0.344,0.3391,0.0518
3324391,9.752,0.204,0.4950,0.0306
3324404,7.154,0.299,0.1678,0.0449
3324412,7.513,0.275,0.2129,0.0414
3324421,6.417,0.531,0.0749,0.0798
3324439,7.056,0.607,0.1554,0.0912
3324447,6.230,0.944,0.0513,0.1420
3324455,7.085,0.622,0.1590,0.0936
3324463,5.859,2.135,0.0046,0.3210
3324471,6.291,2.267,0.0590,0.3410
3324480,6.702,1.441,0.1108,0.2168
3324498,9.693,0.161,0.4876,0.0243
3324501,7.626,0.289,0.2272,0.0435
3324510,5.968,1.455,0.0184,0.2188
3324528,6.642,1.149,0.1032,0.1728
3324536,7.183,1.454,0.1714,0.2186
3324544,9.869,0.273,0.5098,0.0411
3324552,6.708,0.439,0.1116,0.0660
3324561,8.571,0.746,0.3462,0.1121
3324579,6.885,1.984,0.1338,0.2984
3324587,7.355,0.629,0.1930,0.0946
3324595,7.565,1.057,0.2195,0.1589
3324609,6.559,1.728,0.0927,0.2599
3324617,6.865,1.689,0.1314,0.2541
3324625,7.472,0.562,0.2078,0.0846
3324633,6.193,1.258,0.0467,0.1891
3324641,6.480,1.191,0.0828,0.1792
3324650,6.386,1.359,0.0710,0.2045
3324668,7.276,0.889,0.1831,0.1337
3324676,6.829,0.540,0.1268,0.0813
3324684,6.846,0.795,0.1289,0.1196
3324692,7.151,0.629,0.1674,0.0946
3324706,6.354,0.672,0.0670,0.1010
3324714,6.157,1.535,0.0422,0.2309
3324722,6.031,1.821,0.0263,0.2738
3324731,6.992,1.422,0.1473,0.2138
3324749,7.608,0.733,0.2249,0.1103
3324757,6.904,0.657,0.1362,0.0988
3324765,7.284,0.577,0.1841,0.0868
3324773,8.611,0.450,0.3513,0.0677
3324781,6.440,0.686,0.0778,0.1032
3324790,8.043,0.476,0.2797,0.0716
3324803,6.838,0.601,0.1279,0.0904
3324811,7.304,0.460,0.1867,0.0692
3324820,7.224,0.978,0.1765,0.1471
3324838,5.907,0.841,0.0107,0.1266
3324846,6.383,0.894,0.0707,0.1344
3324854,7.448,0.433,0.2048,0.0651
3324862,6.966,0.995,0.1440,0.1496
3324871,7.127,0.985,0.1644,0.1481
3324889,6.815,1.846,0.1250,0.2777
3324897,6.657,3.357,0.1051,0.5049
3324901,6.572,0.445,0.0944,0.0670
3324919,7.492,0.735,0.2103,0.1106
3324927,6.654,1.073,0.1047,0.1613
3324935,7.772,0.593,0.2456,0.0893
3324943,6.968,0.511,0.1442,0.0769
3324951,6.791,0.455,0.1219,0.0685
3324960,6.807,0.597,0.1240,0.0898
3324978,7.977,0.375,0.2714,0.0564
