parcel_id,twi,hand,twi_n,hand_n
2000007,7.387,2.675,0.1971,0.4024
2000015,8.726,0.913,0.3658,0.1373
2000023,8.261,2.376,0.3072,0.3574
2000031,7.377,0.800,0.1959,0.1203
2000040,8.545,0.529,0.3430,0.0795
2000058,8.814,0.997,0.3769,0.1500
2000066,10.729,1.184,0.6181,0.1781
2000074,12.301,0.000,0.8161,0.0000
2000082,7.924,0.898,0.2647,0.1350
2000091,8.510,1.003,0.3385,0.1508
2000104,8.349,4.037,0.3182,0.6072
2000112,7.705,3.905,0.2372,0.5874
2000121,12.679,0.000,0.8637,0.0000
2000139,10.122,1.774,0.5416,0.2668
2000147,5.838,3.020,0.0020,0.4543
2000155,10.387,0.534,0.5750,0.0803
2000163,8.342,1.866,0.3174,0.2806
2000171,7.355,1.202,0.1931,0.1807
2000198,13.684,0.000,0.9903,0.0000
2000201,8.290,1.220,0.3108,0.1834
2000210,8.725,0.243,0.3656,0.0366
2000228,8.036,0.438,0.2788,0.0659
2000236,7.649,2.144,0.2300,0.3225
2000244,8.817,1.409,0.3773,0.2119
2000252,6.427,3.852,0.0762,0.5793
2000279,8.003,1.911,0.2747,0.2874
2000287,7.936,0.513,0.2662,0.0772
2000295,11.399,0.000,0.7025,0.0000
2000309,9.741,2.053,0.4936,0.3088
2000317,7.832,1.636,0.2531,0.2460
2000325,8.230,1.414,0.3032,0.2127
2000333,7.665,1.183,0.2321,0.1779
2000341,8.484,2.505,0.3353,0.3768
2000350,8.613,1.875,0.3516,0.2819
2000368,8.390,2.664,0.3234,0.4007
2000376,9.219,0.312,0.4279,0.0469
2000384,9.149,1.114,0.4190,0.1675
2000406,11.606,0.123,0.7286,0.0184
2000414,7.796,0.387,0.2486,0.0582
2000422,11.045,0.064,0.6579,0.0096
2000431,11.710,0.001,0.7417,0.0002
2000449,7.115,0.344,0.1628,0.0517
2000465,7.943,0.603,0.2671,0.0907
2000473,8.485,0.731,0.3355,0.1099
2000481,12.526,0.045,0.8445,0.0067
2000490,11.960,0.000,0.7732,0.0000
2000503,11.143,0.145,0.6702,0.0217
2000511,11.930,0.000,0.7693,0.0000
2000520,8.866,0.119,0.3833,0.0178
2000538,7.805,3.958,0.2497,0.5952
2000546,7.542,1.248,0.2166,0.1877
2000554,9.666,0.917,0.4841,0.1379
2000562,10.148,0.317,0.5449,0.0477
2000571,10.265,0.042,0.5597,0.0063
2000589,7.291,0.652,0.1850,0.0980
2000597,9.437,0.908,0.4554,0.1365
2000601,8.350,1.608,0.3184,0.2419
2000619,12.347,0.000,0.8219,0.0000
2000643,11.341,0.021,0.6951,0.0032
2000651,10.271,0.095,0.5604,0.0143
2000678,10.493,0.060,0.5883,0.0091
2000686,8.829,1.385,0.3788,0.2084
2000694,8.331,6.393,0.3161,0.9615
2000708,6.809,12.352,0.1243,1.0000
2000716,7.839,0.846,0.2540,0.1272
2000724,8.757,0.188,0.3697,0.0283
2000732,7.581,1.080,0.2215,0.1625
2000741,6.888,0.454,0.1343,0.0683
2000767,9.625,0.800,0.4790,0.1203
2000775,8.807,0.447,0.3760,0.0672
2000783,9.257,0.021,0.4327,0.0031
2000791,7.238,0.529,0.1783,0.0795
2000805,8.844,0.025,0.3807,0.0038
2000813,8.887,0.520,0.3860,0.0782
2000821,10.867,0.930,0.6355,0.1398
2000830,8.494,1.637,0.3365,0.2461
2000848,10.413,0.244,0.5782,0.0367
2000856,7.455,0.361,0.2056,0.0543
2000872,9.690,0.280,0.4872,0.0421
2000881,7.943,4.139,0.2671,0.6225
2000899,6.454,3.232,0.0795,0.4861
2000902,8.822,3.182,0.3778,0.4785
2000911,8.369,1.534,0.3208,0.2308
2000929,8.169,3.246,0.2956,0.4882
2000937,8.520,2.257,0.3398,0.3395
2000945,8.023,1.894,0.2771,0.2848
2000953,8.259,2.576,0.3069,0.3875
2000961,7.784,0.139,0.2472,0.0208
2000970,8.718,2.846,0.3647,0.4280
2000988,8.616,3.734,0.3519,0.5617
2000996,7.894,1.138,0.2609,0.1711
2001003,9.812,2.869,0.5026,0.4315
2001011,9.477,4.592,0.4604,0.6907
2001020,9.628,5.840,0.4793,0.8784
2001038,9.571,5.772,0.4722,0.8681
2001046,12.122,1.051,0.7936,0.1580
2001054,8.245,5.057,0.3052,0.7605
2001062,7.915,4.367,0.2635,0.6568
2001071,8.392,4.793,0.3236,0.7209
2001089,10.056,4.003,0.5332,0.6020
2001101,7.976,1.931,0.2712,0.2904
2001119,8.665,0.273,0.3581,0.0411
2001127,9.663,1.195,0.4837,0.1797
2001135,10.389,0.494,0.5753,0.0744
2001143,9.715,0.061,0.4904,0.0092
2001151,9.760,0.112,0.4960,0.0168
2001160,12.588,0.003,0.8523,0.0005
2001178,8.472,0.544,0.3338,0.0818
2001186,7.861,2.767,0.2568,0.4162
2001194,9.489,0.019,0.4619,0.0029
2001216,10.325,0.064,0.5672,0.0096
2001232,7.835,0.168,0.2535,0.0253
2001259,8.578,0.098,0.3471,0.0147
2001305,7.774,0.365,0.2458,0.0548
2001313,9.359,0.294,0.4455,0.0443
2001321,10.747,0.414,0.6203,0.0622
2001330,9.751,0.431,0.4949,0.0649
2001356,6.683,1.265,0.1084,0.1903
2001364,6.596,1.330,0.0974,0.2000
2001372,6.305,0.955,0.0608,0.1436
2001381,6.313,1.709,0.0617,0.2570
2001399,6.647,1.277,0.1039,0.1921
2001402,6.352,1.312,0.0667,0.1973
2001411,6.352,0.873,0.0667,0.1313
2001429,6.273,0.994,0.0568,0.1495
2001437,6.617,0.906,0.1001,0.1363
2001445,6.456,1.381,0.0798,0.2076
2001453,6.629,1.155,0.1016,0.1736
2001470,6.436,0.905,0.0774,0.1361
2001496,6.283,1.294,0.0580,0.1947
2001500,6.394,1.556,0.0720,0.2340
2001518,6.625,1.284,0.1011,0.1930
2001534,7.325,0.760,0.1893,0.1144
2001542,6.108,1.135,0.0360,0.1708
2001551,6.268,1.396,0.0561,0.2100
2001569,6.762,0.757,0.1183,0.1138
2001577,6.242,0.895,0.0528,0.1345
2001585,6.748,0.743,0.1166,0.1117
2001593,6.153,1.088,0.0416,0.1636
2001607,6.444,1.469,0.0783,0.2209
2001615,6.500,1.432,0.0853,0.2154
2001623,7.047,0.731,0.1542,0.1099
2001631,6.407,1.158,0.0736,0.1741
2001640,6.335,1.135,0.0645,0.1708
2001658,6.578,0.939,0.0951,0.1412
2001666,6.223,1.366,0.0505,0.2055
2001674,6.469,1.454,0.0814,0.2187
2001682,9.917,0.306,0.5158,0.0460
2001691,6.121,1.174,0.0376,0.1766
2001704,6.224,1.377,0.0506,0.2071
2001712,7.659,0.767,0.2314,0.1153
2001721,6.725,1.353,0.1137,0.2035
2001739,6.570,1.289,0.0942,0.1939
2001747,7.026,1.308,0.1516,0.1967
2001755,6.634,1.280,0.1022,0.1926
2001763,6.663,1.171,0.1058,0.1761
2001771,6.525,1.511,0.0884,0.2272
2001780,6.748,1.495,0.1166,0.2248
2001798,6.240,1.277,0.0525,0.1920
2001801,6.288,1.238,0.0586,0.1861
2001810,6.681,0.784,0.1081,0.1179
2001828,6.342,1.394,0.0655,0.2096
2001836,6.199,1.227,0.0475,0.1845
2001844,6.381,1.519,0.0704,0.2284
2001852,6.199,1.373,0.0474,0.2066
2001861,6.552,1.136,0.0919,0.1708
2001879,7.147,0.832,0.1669,0.1251
2001887,7.522,0.791,0.2141,0.1190
2001895,6.868,0.893,0.1318,0.1343
2001909,7.670,0.664,0.2327,0.0998
2001917,6.428,0.895,0.0763,0.1347
2001925,6.392,0.833,0.0717,0.1253
2001933,6.333,0.911,0.0643,0.1370
2001941,6.361,0.906,0.0679,0.1363
2001968,6.307,0.996,0.0610,0.1498
2001976,6.727,1.152,0.1139,0.1733
2001984,6.403,1.211,0.0732,0.1822
2002018,6.690,1.270,0.1092,0.1910
2002034,6.944,1.315,0.1412,0.1977
2002042,10.110,1.452,0.5402,0.2184
2002051,9.797,0.402,0.5007,0.0605
2002069,8.954,0.372,0.3945,0.0559
2002085,9.926,1.416,0.5169,0.2130
2002093,9.789,1.103,0.4997,0.1659
2002107,9.045,1.167,0.4059,0.1756
2002115,9.694,1.133,0.4877,0.1704
2002123,8.655,1.155,0.3568,0.1737
2002131,9.399,1.239,0.4505,0.1864
2002140,8.149,1.306,0.2930,0.1964
2002158,8.758,1.408,0.3698,0.2118
2002166,8.902,1.514,0.3879,0.2277
2002182,8.735,1.542,0.3669,0.2319
2002191,7.586,1.621,0.2221,0.2438
2002212,7.422,1.410,0.2015,0.2120
2002221,6.684,1.138,0.1086,0.1712
2002239,7.561,1.246,0.2190,0.1875
2002247,9.040,1.122,0.4053,0.1687
2002271,8.796,0.866,0.3746,0.1302
2002280,9.301,1.043,0.4382,0.1568
2002328,9.735,0.805,0.4928,0.1210
2002336,6.962,0.686,0.1436,0.1031
2002352,9.231,0.864,0.4294,0.1300
2002361,8.380,1.344,0.3222,0.2021
2002387,7.200,1.448,0.1736,0.2177
2002395,9.771,1.184,0.4973,0.1780
2002409,8.974,0.935,0.3970,0.1407
2002417,9.470,0.011,0.4594,0.0016
2002441,9.544,0.211,0.4688,0.0317
2002450,7.028,0.707,0.1518,0.1063
2002468,11.567,0.663,0.7236,0.0998
2002476,8.484,0.457,0.3353,0.0688
2002484,8.790,0.226,0.3738,0.0340
2002492,8.870,0.045,0.3839,0.0068
2002522,10.460,0.010,0.5842,0.0015
2002531,8.357,0.163,0.3193,0.0245
2002549,7.875,0.776,0.2586,0.1167
2002557,7.371,0.823,0.1951,0.1238
2002565,7.467,0.754,0.2071,0.1135
2002573,7.781,0.673,0.2467,0.1011
2002581,7.962,0.760,0.2695,0.1143
2002603,7.438,0.805,0.2035,0.1210
2002611,7.300,0.707,0.1861,0.1063
2002638,7.106,0.840,0.1616,0.1264
2002646,7.515,0.769,0.2132,0.1156
2002654,7.043,0.765,0.1537,0.1151
2002662,6.500,0.796,0.0853,0.1197
2002671,7.526,0.765,0.2146,0.1150
2002689,7.090,0.645,0.1597,0.0969
2002701,6.856,0.656,0.1301,0.0987
