parcel_id,twi,hand,twi_n,hand_n
2449152,7.197,5.158,0.1731,0.7758
2449161,6.765,4.937,0.1188,0.7425
2449187,7.178,4.333,0.1708,0.6517
2449195,7.175,4.040,0.1703,0.6076
2449209,8.796,3.929,0.3746,0.5909
2449217,7.292,3.956,0.1851,0.5950
2449225,7.215,2.815,0.1754,0.4234
2449233,6.820,2.068,0.1256,0.3110
2449241,6.410,1.602,0.0741,0.2409
2449268,8.102,0.747,0.2872,0.1123
2449276,7.914,0.700,0.2635,0.1053
2449284,7.259,1.520,0.1810,0.2285
2449292,7.146,1.390,0.1667,0.2090
2449314,6.519,10.731,0.0877,1.0000
2449322,6.813,13.962,0.1248,1.0000
2449331,7.544,13.278,0.2169,1.0000
2449349,6.941,13.151,0.1409,1.0000
2449357,8.243,11.243,0.3050,1.0000
2449373,6.312,8.571,0.0617,1.0000
2449471,8.512,0.677,0.3388,0.1019
2449489,9.281,0.631,0.4356,0.0949
2449497,9.485,0.372,0.4614,0.0559
2449519,6.967,3.622,0.1442,0.5448
2449578,12.238,0.010,0.8082,0.0015
2449632,6.803,1.080,0.1235,0.1625
2449641,7.526,0.413,0.2146,0.0621
2449659,7.332,0.371,0.1902,0.0558
2449667,10.115,0.096,0.5408,0.0145
2449675,10.836,0.106,0.6315,0.0159
2449683,10.387,0.147,0.5749,0.0222
2449691,7.017,1.008,0.1504,0.1516
2449705,9.271,1.252,0.4344,0.1883
2449713,7.355,1.506,0.1930,0.2265
2449721,7.056,0.864,0.1554,0.1299
2449730,8.015,0.634,0.2762,0.0953
2449748,10.141,0.071,0.5440,0.0107
2449756,7.602,0.279,0.2241,0.0419
2449764,8.544,0.999,0.3428,0.1503
2449772,7.761,0.755,0.2442,0.1136
2449781,8.718,1.513,0.3648,0.2275
2449799,8.671,1.249,0.3588,0.1879
2449802,8.112,1.637,0.2884,0.2462
2449811,7.094,2.096,0.1602,0.3152
2449829,6.652,1.644,0.1045,0.2473
2449837,6.825,1.802,0.1263,0.2711
2449845,7.373,1.604,0.1953,0.2412
2449853,8.848,0.598,0.3812,0.0899
2449861,9.882,0.506,0.5114,0.0761
2449870,9.513,0.539,0.4649,0.0811
2449888,6.927,0.496,0.1391,0.0746
2449896,8.133,0.200,0.2911,0.0301
2449900,8.009,0.202,0.2754,0.0303
2449918,8.889,0.134,0.3863,0.0202
2449926,7.664,0.485,0.2319,0.0729
2449934,7.398,1.143,0.1985,0.1719
2449951,7.536,0.155,0.2158,0.0233
2449985,7.176,0.262,0.1706,0.0394
2449993,6.783,0.442,0.1210,0.0665
2450002,6.066,0.754,0.0306,0.1134
2450029,7.024,6.569,0.1514,0.9880
2450037,6.951,6.909,0.1421,1.0000
2450045,7.658,9.171,0.2312,1.0000
2450053,7.653,7.284,0.2306,1.0000
2450061,7.141,5.859,0.1661,0.8812
2450070,7.012,5.354,0.1498,0.8053
2450088,7.046,5.836,0.1541,0.8777
2450096,7.307,5.387,0.1870,0.8102
2450100,7.204,5.095,0.1741,0.7663
2450118,6.998,4.716,0.1480,0.7094
2450126,6.447,4.363,0.0787,0.6562
2450134,5.330,2.640,0.0000,0.3971
2450142,10.064,0.002,0.5343,0.0003
2450151,12.801,0.000,0.8790,0.0000
2450169,10.609,0.000,0.6030,0.0000
2450185,5.787,1.376,0.0000,0.2070
2450207,5.834,4.162,0.0015,0.6259
2450215,6.154,5.247,0.0417,0.7892
2450223,7.443,4.054,0.2041,0.6097
2450240,6.689,5.399,0.1092,0.8121
2450258,7.893,5.387,0.2609,0.8102
2450266,5.919,5.522,0.0122,0.8305
2450274,6.683,5.569,0.1084,0.8376
2450282,6.450,4.214,0.0791,0.6338
2450291,6.222,4.503,0.0503,0.6773
2450304,6.869,3.990,0.1318,0.6001
2450312,6.454,3.778,0.0795,0.5682
2450321,5.729,2.465,0.0000,0.3707
2450339,6.022,1.176,0.0251,0.1769
2450347,11.328,0.000,0.6936,0.0000
2450355,7.435,0.591,0.2031,0.0889
2450363,6.685,1.912,0.1086,0.2875
2450371,5.584,2.686,0.0000,0.4039
2450380,8.443,0.055,0.3301,0.0083
2450398,12.258,0.000,0.8107,0.0000
2450401,9.092,0.000,0.4119,0.0000
2450410,6.711,0.713,0.1119,0.1072
2450428,5.222,3.457,0.0000,0.5199
2450436,5.598,4.590,0.0000,0.6904
2450444,5.593,4.492,0.0000,0.6755
2450452,8.814,1.875,0.3768,0.2820
2450461,7.918,0.688,0.2640,0.1034
2450479,9.554,0.000,0.4701,0.0000
2450487,12.433,0.000,0.8328,0.0000
2450495,12.209,0.000,0.8045,0.0000
2450509,8.446,0.273,0.3305,0.0410
2450517,6.934,2.305,0.1400,0.3466
2450525,5.993,2.835,0.0214,0.4264
2450533,6.937,0.843,0.1404,0.1267
2450541,12.126,0.000,0.7940,0.0000
2450568,5.746,2.034,0.0000,0.3059
2450576,6.602,1.957,0.0982,0.2943
2450584,6.588,2.332,0.0964,0.3508
2450592,6.512,2.274,0.0869,0.3420
2450606,7.026,0.652,0.1516,0.0980
2450622,6.323,1.809,0.0630,0.2721
2450631,6.028,4.709,0.0259,0.7082
2450649,6.560,13.148,0.0929,1.0000
2450657,8.021,15.161,0.2769,1.0000
2450665,6.413,16.248,0.0744,1.0000
2450673,6.129,5.877,0.0386,0.8839
2450681,5.995,3.976,0.0218,0.5981
2450690,6.903,4.185,0.1361,0.6295
2450703,7.521,3.428,0.2139,0.5156
2450711,8.526,3.058,0.3405,0.4599
2450720,7.597,2.408,0.2235,0.3622
2450738,6.764,4.441,0.1186,0.6679
2450746,7.636,4.414,0.2284,0.6638
2450754,7.332,4.576,0.1901,0.6882
2450762,6.846,5.046,0.1290,0.7589
2450771,7.058,5.089,0.1557,0.7654
2450789,7.244,4.824,0.1791,0.7255
2450797,7.510,4.297,0.2126,0.6463
2450801,6.439,4.884,0.0776,0.7345
2450819,6.170,6.149,0.0438,0.9248
2450827,6.081,6.439,0.0326,0.9684
2450835,6.358,16.391,0.0675,1.0000
2450843,5.550,7.419,0.0000,1.0000
2450851,5.933,5.167,0.0140,0.7771
2450860,5.837,3.151,0.0019,0.4739
2450878,7.023,1.895,0.1512,0.2850
2450886,7.886,2.309,0.2599,0.3473
2450894,6.512,2.516,0.0868,0.3785
2450908,6.469,3.508,0.0814,0.5276
2450916,6.586,4.801,0.0962,0.7221
2450924,6.727,5.476,0.1139,0.8236
2450932,6.923,5.823,0.1386,0.8757
2450941,6.997,5.613,0.1480,0.8443
2450959,8.973,0.028,0.3969,0.0043
2450967,7.275,1.573,0.1830,0.2366
2450975,7.122,3.304,0.1637,0.4970
2450983,6.518,2.947,0.0876,0.4433
