parcel_id,twi,hand,twi_n,hand_n
8019855,11.096,0.018,0.6643,0.0026
8019856,11.120,0.050,0.6674,0.0076
8019857,7.916,0.400,0.2637,0.0601
8019858,7.433,1.005,0.2029,0.1512
8019859,7.189,1.254,0.1721,0.1887
8019860,6.467,1.802,0.0812,0.2710
8019861,6.246,2.149,0.0534,0.3233
8019862,8.136,2.001,0.2915,0.3009
8019863,10.155,1.984,0.5458,0.2984
8019864,9.605,2.210,0.4765,0.3324
8019865,8.209,2.418,0.3006,0.3637
8019866,7.379,2.563,0.1961,0.3855
8019867,7.263,3.057,0.1814,0.4597
8019868,7.600,3.282,0.2239,0.4937
8019869,8.138,1.980,0.2917,0.2978
8019870,8.245,1.977,0.3051,0.2973
8019871,7.672,1.948,0.2329,0.2930
8019872,7.522,1.421,0.2141,0.2136
8019873,8.265,1.034,0.3077,0.1555
8019874,7.915,0.887,0.2636,0.1334
8019875,9.445,0.483,0.4564,0.0727
8019876,9.971,0.459,0.5226,0.0690
8019877,8.430,0.800,0.3285,0.1204
8019878,9.503,0.854,0.4637,0.1284
8019879,8.745,1.091,0.3682,0.1641
8019880,7.955,2.042,0.2686,0.3071
8019881,6.760,8.913,0.1182,1.0000
8019882,7.321,8.206,0.1888,1.0000
8019883,7.885,1.863,0.2598,0.2803
8019884,7.697,3.563,0.2361,0.5358
8019885,6.957,5.995,0.1429,0.9016
8019886,6.531,8.158,0.0892,1.0000
8019887,6.291,6.434,0.0591,0.9677
8019888,5.949,6.567,0.0160,0.9877
8019889,5.920,5.451,0.0123,0.8198
8019890,6.310,3.722,0.0614,0.5598
8019891,6.778,2.919,0.1204,0.4390
8019893,9.586,0.098,0.4741,0.0148
8019894,9.123,0.230,0.4158,0.0346
8019895,8.326,0.521,0.3154,0.0784
8019896,6.452,1.834,0.0792,0.2758
8019897,12.963,0.000,0.8994,0.0000
8019898,10.176,0.260,0.5484,0.0391
8019899,7.375,0.597,0.1956,0.0898
8019901,11.146,0.002,0.6706,0.0003
8019902,10.861,0.006,0.6347,0.0010
8019903,11.214,0.001,0.6792,0.0002
8019904,12.162,0.000,0.7986,0.0000
8019905,10.967,0.039,0.6480,0.0058
8019906,9.366,0.011,0.4464,0.0017
8019907,10.650,0.009,0.6082,0.0014
8019908,11.236,0.000,0.6819,0.0000
8019909,11.093,0.000,0.6639,0.0000
8019912,6.403,0.913,0.0732,0.1373
8019913,7.408,0.573,0.1998,0.0861
8019914,12.076,0.004,0.7878,0.0006
8019915,7.125,2.456,0.1641,0.3694
8019916,8.152,0.198,0.2934,0.0298
8019917,12.066,0.062,0.7864,0.0093
8019918,8.041,0.075,0.2795,0.0112
8019921,7.043,0.842,0.1538,0.1267
8019922,7.869,0.494,0.2578,0.0743
8019923,7.424,0.479,0.2017,0.0720
8019924,9.154,0.017,0.4196,0.0025
8019925,7.795,0.958,0.2485,0.1441
8019926,10.875,0.003,0.6365,0.0004
8019927,8.328,0.361,0.3156,0.0542
8019928,10.110,0.064,0.5401,0.0096
8019929,8.883,0.169,0.3855,0.0254
8019930,6.389,2.453,0.0714,0.3689
8019931,10.176,0.260,0.5484,0.0391
8019932,10.007,0.058,0.5271,0.0087
8019933,8.296,0.194,0.3116,0.0292
8019935,11.982,0.001,0.7760,0.0002
8019936,11.973,0.000,0.7748,0.0000
8019938,9.654,0.090,0.4826,0.0135
8019939,10.857,0.037,0.6342,0.0056
8019940,9.750,0.137,0.4947,0.0206
8019942,7.645,0.332,0.2296,0.0500
8019944,14.749,0.000,1.0000,0.0000
8019945,6.281,3.511,0.0577,0.5280
8019946,8.295,2.177,0.3115,0.3274
8019947,6.701,2.462,0.1107,0.3702
8019948,9.091,1.549,0.4117,0.2330
8019949,7.589,0.813,0.2226,0.1223
8019950,7.258,1.368,0.1809,0.2057
8019951,10.160,1.282,0.5465,0.1928
8019952,7.814,3.823,0.2508,0.5750
8019953,9.489,4.570,0.4618,0.6873
8019954,8.309,4.055,0.3132,0.6098
8019955,6.939,3.831,0.1407,0.5763
8019956,8.046,4.056,0.2800,0.6100
8019957,7.573,2.620,0.2205,0.3941
8019958,7.562,4.127,0.2191,0.6207
8019959,7.370,2.618,0.1949,0.3937
8019960,11.397,0.186,0.7022,0.0280
8019961,6.917,0.593,0.1379,0.0891
8019962,6.385,0.894,0.0709,0.1345
8019963,8.834,0.916,0.3793,0.1378
8019964,6.639,1.405,0.1029,0.2112
8019965,8.387,1.417,0.3230,0.2132
8019966,6.373,5.187,0.0694,0.7802
8019967,11.093,2.113,0.6639,0.3178
8019968,6.857,3.814,0.1304,0.5737
8019969,8.048,3.967,0.2803,0.5967
8019970,7.268,4.231,0.1821,0.6364
8019971,12.869,0.000,0.8877,0.0000
8019972,10.851,0.004,0.6334,0.0006
8019973,7.010,2.122,0.1496,0.3191
8019974,7.121,3.996,0.1635,0.6009
8019975,7.611,3.735,0.2253,0.5618
8019976,8.046,3.335,0.2801,0.5016
8019977,10.258,3.066,0.5587,0.4611
8019978,6.908,3.589,0.1368,0.5398
8019979,6.670,4.173,0.1068,0.6276
8019980,7.157,4.320,0.1681,0.6498
